Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
"Pork, chop, 1 thick",3 1/2 oz.,100.00,260.00,16.00,21.00,18.00,0.00,0.00,"Meat, Poultry"
Ham pan-broiled,3 oz.,85.00,290.00,16.00,22.00,19.00,0.00,0.00,"Meat, Poultry"
"Ham, as ",2 oz.,57.00,170.00,13.00,13.00,11.00,0.00,0.00,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,57.00,165.00,8.00,14.00,12.00,0.00,1.00,"Meat, Poultry"
Pork roast,3 oz.,85.00,310.00,21.00,24.00,21.00,0.00,0.00,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100.00,475.00,18.00,44.00,40.00,0.00,0.00,"Meat, Poultry"
Turkey,3 1/2 oz.,100.00,265.00,27.00,15.00,0.00,0.00,0.00,"Meat, Poultry"
Veal,3 oz.,85.00,185.00,23.00,9.00,8.00,0.00,0.00,"Meat, Poultry"
Roast,3 oz.,85.00,305.00,13.00,14.00,13.00,0.00,0.00,"Meat, Poultry"
Clams,3 oz.,85.00,87.00,12.00,1.00,0.00,0.00,2.00,"Fish, Seafood"
Cod,3 1/2 oz.,100.00,170.00,28.00,5.00,0.00,0.00,0.00,"Fish, Seafood"
Crab meat,3 oz.,85.00,90.00,14.00,2.00,0.00,0.00,1.00,"Fish, Seafood"
Fish sticks fried,5.00,112.00,200.00,19.00,10.00,5.00,0.00,8.00,"Fish, Seafood"
Flounder,3 1/2 oz.,100.00,200.00,30.00,8.00,0.00,0.00,0.00,"Fish, Seafood"
Haddock,3 oz.,85.00,135.00,16.00,5.00,4.00,0.00,6.00,"Fish, Seafood"
Halibut,3 1/2 oz.,100.00,182.00,26.00,8.00,0.00,0.00,0.00,"Fish, Seafood"
Herring,1 small,100.00,211.00,22.00,13.00,0.00,0.00,0.00,"Fish, Seafood"
Lobster,aver.,100.00,92.00,18.00,1.00,0.00,0.00,t,"Fish, Seafood"
Mackerel,3 oz.,85.00,155.00,18.00,9.00,0.00,a,0.00,"Fish, Seafood"
Oysters,6-8 med.,230.00,231.00,232.00,233.00,234.00,235.00,236.00,"Fish, Seafood"
Oyster stew,1 cup,85.00,125.00,19.00,6.00,1.00,0.00,0.00,"Fish, Seafood"
Salmon,3 oz.,85.00,120.00,17.00,5.00,1.00,0.00,0.00,"Fish, Seafood"
Sardines,3 oz.,85.00,180.00,22.00,9.00,4.00,0.00,0.00,"Fish, Seafood"
Scallops,3 1/2 oz.,100.00,104.00,18.00,8.00,0.00,0.00,10.00,"Fish, Seafood"
Shad,3 oz.,85.00,170.00,20.00,10.00,0.00,0.00,0.00,"Fish, Seafood"
Shrimp,3 oz.,85.00,110.00,23.00,1.00,0.00,0.00,0.00,"Fish, Seafood"
Swordfish,1 steak,100.00,180.00,27.00,6.00,0.00,0.00,0.00,"Fish, Seafood"
Tuna,3 oz.,85.00,170.00,25.00,7.00,3.00,0.00,0.00,"Fish, Seafood"
Artichoke,1 large,100.00,16285.00,2.00,t,t,2.00,10.00,Vegetables A-E
Asparagus,6 spears,96.00,18.00,1.00,t,t,0.50,3.00,Vegetables A-E
Beans,1 cup,125.00,25.00,1.00,t,t,0.80,6.00,Vegetables A-E
Lima,1 cup,160.00,140.00,8.00,t,t,3.00,24.00,Vegetables A-E
"Lima, dry, cooked",1 cup,192.00,260.00,16.00,t,t,2.00,48.00,Vegetables A-E
"Navy, baked with pork",3/4 cup,200.00,250.00,11.00,6.00,6.00,2.00,37.00,Vegetables A-E
Red kidney,1 cup,260.00,230.00,15.00,1.00,0.00,2.50,42.00,Vegetables A-E
Bean sprouts,1 cup,50.00,17.00,1.00,t,0.00,0.30,3.00,Vegetables A-E
Beet greens,1 cup,100.00,27.00,2.00,t,0.00,1.40,6.00,Vegetables A-E
Beetroots,1 cup,165.00,1.00,12.00,0.00,,t,0.80,Vegetables A-E
Broccoli,1 cup,150.00,45.00,5.00,t,0.00,1.90,8.00,Vegetables A-E
Brussels sprouts,1 cup,130.00,60.00,6.00,t,0.00,1.70,12.00,Vegetables A-E
Sauerkraut,1 cup,150.00,32.00,1.00,t,0.00,1.20,7.00,Vegetables A-E
Steamed cabbage,1 cup,170.00,40.00,2.00,t,0.00,1.30,9.00,Vegetables A-E
Carrots,1 cup,150.00,45.00,1.00,t,0.00,0.90,10.00,Vegetables A-E
"Raw, grated",1 cup,110.00,45.00,1.00,t,0.00,1.20,10.00,Vegetables A-E
"Strips, from raw",1 mad.,50.00,20.00,t,t,0.00,0.50,5.00,Vegetables A-E
Cauliflower,1 cup,120.00,30.00,3.00,t,0.00,1.00,6.00,Vegetables A-E
Celery,1 cup,100.00,20.00,1.00,t,0.00,1.00,4.00,Vegetables A-E
Stalk raw,1 large,40.00,5.00,1.00,t,0.00,0.30,1.00,Vegetables A-E
Chard steamed,1 cup,150.00,30.00,2.00,t,0.00,1.40,7.00,Vegetables A-E
Collards,1 cup,150.00,51.00,5.00,t,0.00,2.00,8.00,Vegetables A-E
Corn,1 ear,100.00,92.00,3.00,1.00,t,0.80,21.00,Vegetables A-E
cooked or canned,1 cup,200.00,170.00,5.00,t,0.00,1.60,41.00,Vegetables A-E
Cucumbers,8.00,50.00,6.00,t,0.00,0.00,0.20,1.00,Vegetables A-E
Dandelion greens,1 cup,180.00,80.00,5.00,1.00,0.00,3.20,16.00,Vegetables A-E
Eggplant,1 cup,180.00,30.00,2.00,t,0.00,1.00,9.00,Vegetables A-E
Endive,2 oz.,57.00,10.00,1.00,t,0.00,0.60,2.00,Vegetables A-E
Kale,1 cup,110.00,45.00,4.00,1.00,0.00,0.90,8.00,Vegetables F-P
Kohlrabi,1 cup,140.00,40.00,2.00,t,0.00,1.50,9.00,Vegetables F-P
"Lambs quarters, steamed",1 cup,150.00,48.00,5.00,t,0.00,3.20,7.00,Vegetables F-P
Lentils,1 cup,200.00,212.00,15.00,t,0.00,2.40,38.00,Vegetables F-P
Lettuce,1/4 head,100.00,14.00,1.00,t,0.00,0.50,2.00,Vegetables F-P
Iceberg,1/4 head,100.00,13.00,t,t,0.00,0.50,3.00,Vegetables F-P
Mushrooms canned,4.00,120.00,12.00,2.00,t,0.00,t,4.00,Vegetables F-P
Mustard greens,1.00,140.00,30.00,3.00,t,0.00,1.20,6.00,Vegetables F-P
Okra,1 1/3 cups,100.00,32.00,1.00,t,0.00,1.00,7.00,Vegetables F-P
Onions,1.00,210.00,80.00,2.00,t,0.00,1.60,18.00,Vegetables F-P
"Raw, green",6 small,50.00,22.00,t,t,0.00,1.00,5.00,Vegetables F-P
Parsley,2 T.,50.00,2.00,t,t,0.00,t,t,Vegetables F-P
Parsnips,1 cup,155.00,95.00,2.00,1.00,0.00,3.00,22.00,Vegetables F-P
Peas,1 cup,100.00,66.00,3.00,t,0.00,0.10,13.00,Vegetables F-P
"Fresh, steamed peas",1 cup,100.00,70.00,5.00,t,0.00,2.20,12.00,Vegetables R-Z
Frozen peas,1 cup,100.00,,5.00,t,0.00,1.80,12.00,Vegetables R-Z
Split cooked peas,4 cups,100.00,115.00,8.00,t,0.00,0.40,21.00,Vegetables R-Z
heated peas,1 cup,100.00,53.00,3.00,t,0.00,1.00,10.00,Vegetables R-Z
Peppers canned,1 pod,38.00,10.00,t,t,0.00,t,2.00,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100.00,25.00,1.00,t,0.00,1.40,6.00,Vegetables R-Z
Peppers with beef and crumbs,1 med.,150.00,255.00,19.00,9.00,8.00,1.00,24.00,Vegetables R-Z
"Potatoes, baked",1 med.,100.00,100.00,2.00,t,0.00,0.50,22.00,Vegetables R-Z
French-fried,10 pieces,60.00,155.00,-1.00,7.00,3.00,0.40,20.00,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,200.00,230.00,4.00,12.00,11.00,0.70,28.00,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100.00,268.00,4.00,14.00,6.00,0.40,33.00,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100.00,145.00,6.00,8.00,7.00,0.40,14.00,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100.00,80.00,2.00,t,0.00,0.40,19.00,Vegetables R-Z
Potato chips,10.00,20.00,110.00,1.00,7.00,4.00,t,10.00,Vegetables R-Z
Radishes,5 small,50.00,10.00,t,0.00,0.00,0.30,2.00,Vegetables R-Z
Rutabagas,4 cups,100.00,32.00,t,0.00,0.00,1.40,8.00,Vegetables R-Z
Soybeans,1 cup,200.00,260.00,22.00,11.00,0.00,3.20,20.00,Vegetables R-Z
Spinach,1 cup,100.00,26.00,3.00,t,0.00,1.00,3.00,Vegetables R-Z
Squash,1 cup,210.00,35.00,1.00,t,0.00,0.60,8.00,Vegetables R-Z
"Winter, mashed",1 cup,200.00,95.00,4.00,t,0.00,2.60,23.00,Vegetables R-Z
Sweet potatoes,1 med.,110.00,155.00,2.00,1.00,0.00,1.00,36.00,Vegetables R-Z
Candied,1 med.,175.00,235.00,2.00,6.00,5.00,1.50,80.00,Vegetables R-Z
Tomatoes,1 cup,240.00,50.00,2.00,t,0.00,1.00,9.00,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,150.00,30.00,1.00,t,0.00,0.60,6.00,Vegetables R-Z
Tomato juice,1 cup,240.00,50.00,2.00,t,0.00,0.60,10.00,Vegetables R-Z
Tomato catsup,1 T.,17.00,15.00,t,t,0.00,t,4.00,Vegetables R-Z
Turnip greens,1 cup,145.00,45.00,4.00,1.00,0.00,1.80,8.00,Vegetables R-Z
"Turnips, steamed",1 cup,155.00,40.00,1.00,t,0.00,1.80,9.00,Vegetables R-Z
"Watercress stems, raw",1 cup,50.00,9.00,1.00,t,0.00,0.30,1.00,Fruits A-F
Apple juice canned,1 cup,250.00,125.00,t,0.00,0.00,0.00,34.00,Fruits A-F
Apple vinegar,1/3 cup,100.00,14.00,t,0.00,0.00,0.00,3.00,Fruits A-F
"Apples, raw",1 med,130.00,70.00,t,t,0.00,1.00,18.00,Fruits A-F
Stewed or canned,1 cup,240.00,100.00,t,t,0.00,2.00,26.00,Fruits A-F
Apricots,1 cup,250.00,220.00,2.00,t,0.00,1.00,57.00,Fruits A-F
"Dried, uncooked",1/2 cup,75.00,220.00,4.00,t,0.00,1.00,50.00,Fruits A-F
Fresh,3 med.,114.00,55.00,1.00,t,0.00,0.70,14.00,Fruits A-F
"Nectar, or juice",1 cup,250.00,140.00,1.00,t,0.00,2.00,36.00,Fruits A-F
Avocado,1/2 large,108.00,185.00,2.00,18.00,12.00,1.80,6.00,Fruits A-F
Banana,1 med.,150.00,85.00,1.00,t,0.00,0.90,23.00,Fruits A-F
Blackberries,1 cup,144.00,85.00,2.00,1.00,0.00,6.60,19.00,Fruits A-F
Blueberries,1 cup,250.00,245.00,1.00,t,0.00,2.00,65.00,Fruits A-F
Cantaloupe,1/2 med.,380.00,40.00,1.00,t,0.00,2.20,9.00,Fruits A-F
Cherries,1 cup,257.00,100.00,2.00,1.00,0.00,2.00,26.00,Fruits A-F
"Fresh, raw",1 cup,114.00,65.00,1.00,t,0.00,0.80,15.00,Fruits A-F
Cranberry sauce sweetened,1 cup,277.00,530.00,t,t,0.00,1.20,142.00,Fruits A-F
Dates,1 cup,178.00,505.00,4.00,t,0.00,3.60,134.00,Fruits A-F
Figs,2.00,42.00,120.00,2.00,t,0.00,1.90,30.00,Fruits A-F
"Fresh, raw figs",3 med.,114.00,90.00,2.00,t,0.00,1.00,22.00,Fruits A-F
figs Canned with syrup ,3.00,115.00,130.00,1.00,t,0.00,1.00,32.00,Fruits A-F
"Fruit cocktail, canned",1 cup,256.00,195.00,1.00,t,0.00,0.50,50.00,Fruits A-F
Grapefruit sections,1 cup,250.00,170.00,1.00,t,0.00,0.50,44.00,Fruits G-P
"Grapefruit, fresh, 5"" diameter",44928.00,285.00,50.00,1.00,t,t,1.00,14.00,Fruits G-P
Grapefruit juice,1 cup,250.00,100.00,1.00,t,0.00,1.00,24.00,Fruits G-P
Grapes,1 cup,153.00,70.00,1.00,t,0.00,0.80,16.00,Fruits G-P
"European, as Muscat, Tokay",1 cup,160.00,100.00,1.00,t,0.00,0.70,26.00,Fruits G-P
Grape juice,1 cup,250.00,160.00,1.00,t,0.00,t,42.00,Fruits G-P
Lemon juice,1/2 cup,125.00,30.00,t,t,0.00,t,10.00,Fruits G-P
Lemonade concentratefrozen,6-oz. can,220.00,430.00,t,t,0.00,t,112.00,Fruits G-P
Limeade concentrate frozen,6-oz. can,218.00,405.00,t,t,0.00,t,108.00,Fruits G-P
Olives large,10.00,65.00,72.00,1.00,10.00,9.00,0.80,3.00,Fruits G-P
OlivesRipe,10.00,65.00,105.00,1.00,13.00,12.00,1.00,1.00,Fruits G-P
"Oranges 3"" diameter",1 med.,180.00,60.00,2.00,t,t,1.00,16.00,Fruits G-P
Orange juice,8 oz. or,250.00,112.00,2.00,t,0.00,0.20,25.00,Fruits G-P
Frozen ,6-oz. can,210.00,330.00,2.00,t,t,0.40,78.00,Fruits G-P
Papaya,1/2 med.,200.00,75.00,1.00,t,0.00,1.80,18.00,Fruits G-P
Peaches,1 cup,257.00,200.00,1.00,t,0.00,1.00,52.00,Fruits G-P
"Fresh, raw",1 med.,114.00,35.00,1.00,t,0.00,0.60,10.00,Fruits G-P
Pears,1 cup,255.00,195.00,1.00,t,0.00,2.00,50.00,Fruits G-P
"Raw, 3 by 2V",1 med.,182.00,100.00,1.00,1.00,0.00,2.00,25.00,Fruits G-P
Persimmons,1 med.,125.00,75.00,1.00,t,0.00,2.00,20.00,Fruits G-P
Pineapple,1 large slice,122.00,95.00,t,t,0.00,0.40,26.00,Fruits G-P
Pineapple Crushed,1 cup,260.00,205.00,1.00,t,0.00,0.70,55.00,Fruits G-P
"Raw, diced",1 cup,140.00,75.00,1.00,t',0.00,0.60,19.00,Fruits G-P
Pineapple juice,1 cup,250.00,120.00,1.00,t,0.00,0.20,32.00,Fruits G-P
Plums,1 cup,256.00,185.00,1.00,t,0.00,0.70,50.00,Fruits G-P
"Raw, 2"" diameter",1.00,60.00,30.00,t,t,0.00,0.20,7.00,Fruits G-P
Prunes,1 cup,270.00,300.00,3.00,1.00,0.00,0.80,81.00,Fruits G-P
Prune juice,1 cup,240.00,170.00,1.00,t,0.00,0.70,45.00,Fruits G-P
Raisins,1/2 cup,88.00,230.00,2.00,t,0.00,0.70,82.00,Fruits R-Z
Raspberries,1/2 cup,100.00,100.00,t,t,0.00,2.00,25.00,Fruits R-Z
"Raw, red",3/4 cup,100.00,57.00,t,t,0.00,5.00,14.00,Fruits R-Z
Rhubarb sweetened,1 cup,270.00,385.00,1.00,t,0.00,1.90,98.00,Fruits R-Z
Strawberries,1 cup,227.00,242.00,1.00,t,0.00,1.30,60.00,Fruits R-Z
Raw,1 cup,149.00,54.00,t,t,0.00,1.90,12.00,Fruits R-Z
Tangerines,I med.,114.00,40.00,1.00,t,0.00,1.00,10.00,Fruits R-Z
Watermelon,1 wedge,925.00,120.00,2.00,1.00,0.00,3.60,29.00,Fruits R-Z
Biscuits,1.00,38.00,130.00,3.00,4.00,3.00,t,18.00,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25.00,117.00,3.00,t,0.00,0.10,32.00,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,23.00,60.00,2.00,1.00,1.00,0.10,12.00,"Breads, cereals, fastfood,grains"
Rye,1 slice,23.00,55.00,2.00,1.00,1.00,0.10,12.00,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,454.00,1225.00,39.00,15.00,12.00,9.00,229.00,"Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,454.00,1100.00,48.00,14.00,10.00,67.50,216.00,"Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,23.00,55.00,2.00,1.00,0.00,0.31,11.00,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,50.00,100.00,3.00,4.00,2.00,0.30,15.00,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25.00,110.00,2.00,t,0.00,0.10,25.00,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,242.00,120.00,8.00,t,0.00,0.20,27.00,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118.00,360.00,9.00,4.00,2.00,1.60,74.00,"Breads, cereals, fastfood,grains"
Crackers,2 med.,14.00,55.00,1.00,1.00,0.00,t,10.00,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",2.00,11.00,45.00,1.00,1.00,0.00,t,8.00,"Breads, cereals, fastfood,grains"
Farina,1 cup,238.00,105.00,3.00,t,0.00,8.00,22.00,"Breads, cereals, fastfood,grains"
Flour,1 cup,110.00,460.00,39.00,22.00,0.00,2.90,33.00,"Breads, cereals, fastfood,grains"
Wheat (all purpose),1 cup,110.00,400.00,12.00,1.00,0.00,0.30,84.00,"Breads, cereals, fastfood,grains"
Wheat (whole),1 cup,120.00,390.00,13.00,2.00,0.00,2.80,79.00,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140.00,155.00,5.00,1.00,0.00,0.10,32.00,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,220.00,475.00,18.00,25.00,24.00,t,44.00,"Breads, cereals, fastfood,grains"
Muffins,1.00,48.00,135.00,4.00,5.00,4.00,t,19.00,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160.00,200.00,7.00,2.00,2.00,0.10,37.00,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236.00,150.00,5.00,3.00,2.00,4.60,26.00,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",4.00,108.00,250.00,7.00,9.00,0.00,0.10,28.00,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",4.00,108.00,250.00,7.00,9.00,0.00,0.10,28.00,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",1 section,75.00,180.00,8.00,6.00,5.00,t,23.00,"Breads, cereals, fastfood,grains"
Popcorn salted,2 cups,28.00,152.00,3.00,7.00,2.00,0.50,20.00,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14.00,55.00,t,t,0.00,t,12.00,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,1 cup,28.00,105.00,1.00,t,0.00,0.60,26.00,"Breads, cereals, fastfood,grains"
Rice,1 cup,208.00,748.00,15.00,3.00,0.00,1.20,154.00,"Breads, cereals, fastfood,grains"
Converted,1 cup,187.00,677.00,14.00,t,0.00,0.40,142.00,"Breads, cereals, fastfood,grains"
White,1 cup,191.00,692.00,14.00,t,0.00,0.30,150.00,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30.00,115.00,2.00,t,0.00,0.10,26.00,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,50.00,132.00,6.00,6.00,0.00,1.20,28.00,"Breads, cereals, fastfood,grains"
Rolls,1 large,50.00,411.00,3.00,12.00,11.00,0.10,23.00,"Breads, cereals, fastfood,grains"
of refined flour,1.00,38.00,115.00,3.00,2.00,2.00,t,20.00,"Breads, cereals, fastfood,grains"
whole-wheat,1.00,40.00,102.00,4.00,1.00,0.00,0.10,20.00,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250.00,285.00,13.00,10.00,6.00,0.50,35.00,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,1 cup,250.00,210.00,6.00,5.00,3.00,0.50,36.00,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250.00,217.00,4.00,4.00,0.00,1.20,40.00,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1.00,28.00,100.00,3.00,1.00,0.00,0.70,23.00,"Breads, cereals, fastfood,grains"
Waffles,1.00,75.00,240.00,8.00,9.00,1.00,0.10,30.00,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,68.00,245.00,17.00,7.00,3.00,2.50,34.00,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,1 cup,65.00,260.00,20.00,7.00,3.00,2.50,36.00,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,3/4 cup,30.00,103.00,4.00,1.00,0.00,0.70,25.00,"Breads, cereals, fastfood,grains"
"Wheat, cooked",3/4 cup,200.00,275.00,12.00,1.00,0.00,4.40,35.00,"Breads, cereals, fastfood,grains"
Bean soups,1 cup,250.00,190.00,8.00,5.00,4.00,0.60,30.00,Soups
Beef soup,1 cup,250.00,100.00,6.00,4.00,4.00,0.50,11.00,Soups
Bouillon,1 cup,240.00,24.00,5.00,0.00,0.00,0.00,0.00,Soups
chicken soup,1 cup,250.00,75.00,4.00,2.00,2.00,0.00,10.00,Soups
Clam chowder,1 cup,255.00,85.00,5.00,2.00,8.00,0.50,12.00,Soups
Cream soups,1 cup,255.00,200.00,7.00,12.00,11.00,1.20,18.00,Soups
Noodle,1 cup,250.00,115.00,6.00,4.00,3.00,0.20,13.00,Soups
Split-pea soup,1 cup,250.00,147.00,8.00,3.00,3.00,0.50,25.00,Soups
Tomato soup,1 cup,245.00,175.00,6.00,7.00,6.00,0.50,22.00,Soups
Vegetable,1 cup,250.00,80.00,4.00,2.00,2.00,0.00,14.00,Soups
Apple betty,1 serving,100.00,150.00,1.00,4.00,0.00,0.50,29.00,"Desserts, sweets"
Bread pudding,3/4 cup,200.00,374.00,11.00,12.00,11.00,0.20,56.00,"Desserts, sweets"
